Date,Symbol,rv5_ss,open_time,rk_twoscale,nobs,close_price,bv_ss,rv10,open_price,bv,close_time,rv5,rsv_ss,medrv,rsv,open_to_close,rk_th2,rv10_ss,rk_parzen
2009-05-13 00:00:00+01:00,.OMXHPI,0.000275369,113155,0.000309994,986,5462.43,0.00021768599999999998,0.000292007,5634.03,0.00021768599999999998,193901,0.000275369,0.000180113,0.000112621,0.000180113,-0.030931248999999997,0.00031675400000000004,0.000292007,0.000296175
2009-05-14 00:00:00+01:00,.OMXHPI,0.000304821,110002,0.000325745,1043,5532.13,0.000296626,0.000374501,5462.43,0.000296626,192956,0.000304821,0.000165893,0.000122736,0.000165893,0.012679167,0.000351564,0.000374501,0.00041439
2009-05-15 00:00:00+01:00,.OMXHPI,0.000266573,110055,0.00026761900000000003,1039,5654.67,0.00020842599999999997,0.000266513,5565.45,0.00020842599999999997,192955,0.000266573,9.549999999999999e-05,9.77e-05,9.549999999999999e-05,0.015903908,0.00027365099999999997,0.000266513,0.00031094900000000003
2009-05-18 00:00:00+01:00,.OMXHPI,0.000316327,110001,0.000270045,1042,5748.04,0.000315683,0.000473816,5654.67,0.000315683,192935,0.000316327,0.00019848400000000002,8.740000000000001e-05,0.00019848400000000002,0.016377175,0.000290568,0.000473816,0.000372949
2009-05-19 00:00:00+01:00,.OMXHPI,0.000285857,110035,0.000281953,1041,5884.35,0.000254273,0.00036158699999999997,5765.7,0.000254273,193034,0.000285857,8.39e-05,0.00011803,8.39e-05,0.020369716,0.000291521,0.00036158699999999997,0.000515976
2009-05-20 00:00:00+01:00,.OMXHPI,0.000187087,110051,0.000153373,1041,5990.13,0.000126453,0.00022400599999999998,5905.67,0.000126453,192951,0.000187087,5.21e-05,3.86e-05,5.21e-05,0.014200208,0.00016235,0.00022400599999999998,0.000184788
2009-05-22 00:00:00+01:00,.OMXHPI,0.00042430800000000003,110050,0.000319724,1041,5781.22,0.000196666,0.00044686,5892.7,0.000196666,193050,0.00042430800000000003,0.000332094,5.5e-05,0.000332094,-0.019099564,0.000349405,0.00044686,0.000428531
2009-05-25 00:00:00+01:00,.OMXHPI,0.00011138600000000001,110002,0.000111104,1043,5828.03,9.75e-05,0.000126723,5781.22,9.75e-05,192946,0.00011138600000000001,5.550000000000001e-05,3.3600000000000004e-05,5.550000000000001e-05,0.008064303,0.000118302,0.000126723,9.31e-05
2009-05-26 00:00:00+01:00,.OMXHPI,0.000311373,110045,0.000270177,1041,5775.61,0.00023694900000000002,0.000376486,5808.18,0.00023694900000000002,192946,0.000311373,0.000137192,0.00010041299999999999,0.000137192,-0.00562339,0.000282318,0.000376486,0.000550434
2009-05-27 00:00:00+01:00,.OMXHPI,0.000268191,110045,0.00027487400000000004,1039,5855.93,0.00020418400000000002,0.000260181,5791.89,0.00020418400000000002,192945,0.000268191,0.00010516,0.000107627,0.00010516,0.01099616,0.000282312,0.000260181,0.00014557600000000002
2009-05-28 00:00:00+01:00,.OMXHPI,0.000281029,110000,0.000262595,1043,5836.29,0.00019346,0.00025423599999999997,5855.93,0.00019346,192945,0.000281029,0.000206665,7.57e-05,0.000206665,-0.0033595020000000003,0.000275282,0.00025423599999999997,0.000253797
2009-05-29 00:00:00+01:00,.OMXHPI,0.000188077,110000,0.00021379599999999998,1043,5791.54,0.00010269,0.000214815,5836.29,0.00010269,192944,0.000188077,9.41e-05,3.76e-05,9.41e-05,-0.007697089,0.00021877799999999998,0.000214815,0.00018098099999999998
